# Category,entry_point, comment
BASIC,A000,Restart Vectors
BASIC,A004,'CBMBASIC'-Identifier
BASIC,A00C,BASIC Command Vectors - 1
BASIC,A052,BASIC Function Vectors
BASIC,A080,BASIC Operator Vectors
BASIC,A09E,BASIC Command Keyword Table
BASIC,A129,BASIC Misc. Keyword Table
BASIC,A140,BASIC Operator Keyword Table
BASIC,A14D,BASIC Function Keyword Table
BASIC,A19E,Error Message Table
BASIC,A328,Error Message Pointers
BASIC,A364,Misc. Messages
BASIC,A38A,Find FOR/GOSUB Entry on Stack
BASIC,A3B8,Open Space in Memory
BASIC,A3FB,Check Stack Depth
BASIC,A408,Check Memory Overlap
BASIC,A435,Output ?OUT OF MEMORY Error
BASIC,A437,Error Routine
BASIC,A469,Break Entry
BASIC,A474,Restart BASIC
BASIC,A480,Input & Identify BASIC Line
BASIC,A49C,Get Line Number & Tokenise Text
BASIC,A4A2,Insert BASIC Text
BASIC,A533,Rechain Lines
BASIC,A560,Input Line Into Buffer
BASIC,A579,Tokenise Input Buffer
BASIC,A613,Search for Line Number
BASIC,A642,Perform [new]
BASIC,A65E,Perform [clr]
BASIC,A68E,Reset TXTPTR
BASIC,A69C,Perform [list]
BASIC,A717,Handle LIST Character
BASIC,A742,Perform [for]
BASIC,A7AE,BASIC Warm Start
BASIC,A7C4,Check End of Program
BASIC,A7E1,Prepare to execute statement
BASIC,A7ED,Perform BASIC Keyword
BASIC,A81D,Perform [restore]
BASIC,A82C,Perform [stop]
BASIC,A82F,Perform [end]
BASIC,A831,Perform Break
BASIC,A857,Perform [cont]
BASIC,A871,Perform [run]
BASIC,A883,Perform [gosub]
BASIC,A8A0,Perform [goto]
BASIC,A8D2,Perform [return]
BASIC,A8F8,Perform [data]
BASIC,A906,Search for Next Statement / Line
BASIC,A928,Perform [if]
BASIC,A93B,Perform [rem]
BASIC,A94B,Perform [on]
BASIC,A96B,Fetch linnum From BASIC
BASIC,A9A5,Perform [let]
BASIC,A9C4,Assign Integer
BASIC,A9D6,Assign Floating Point
BASIC,A9D9,Assign String
BASIC,A9E3,Assign TI$
BASIC,AA2C,Add Digit to FAC#1
BASIC,AA80,Perform [print#]
BASIC,AA86,Perform [cmd]
BASIC,AA9A,Print String From Memory
BASIC,AAA0,Perform [print]
BASIC,AAB8,Output Variable
BASIC,AACA,-Add zero terminator to string
BASIC,AAD7,Output CR/LF
BASIC,AAE8,Handle comma, TAB(, SPC(,Handle comma, TAB(
BASIC,AB1E,Output String
BASIC,AB3B,Output Format Character
BASIC,AB4D,Handle Bad Data
BASIC,AB7B,Perform [get]
BASIC,ABA5,Perform [input#]
BASIC,ABBF,Perform [input]
BASIC,ABEA,Read Input Buffer
BASIC,ABF9,Do Input Prompt
BASIC,AC06,Perform [read]
BASIC,AC35,General Purpose Read Routine
BASIC,ACFC,Input Error Messages
BASIC,AD1E,Perform [next]
BASIC,AD61,Check Valid Loop
BASIC,AD8A,Confirm Result
BASIC,AD9E,Evaluate Expression in Text
BASIC,AE83,Evaluate Single Term
BASIC,AEA8,Constant - pi
BASIC,AEAD,Continue Expression
BASIC,AEF1,Expression in Brackets
BASIC,AEF7,Test ')'
BASIC,AEFA,Test '('
BASIC,AEFD,Test ',',Test '
BASIC,AF08,Output ?SYNTAX Error
BASIC,AF0D,Set up NOT Function
BASIC,AF14,Identify Reserved Variable
BASIC,AF28,Search for Variable
BASIC,AF48,Convert TI to ASCII String
BASIC,AFA7,Identify Function Type
BASIC,AFB1,Evaluate String Function
BASIC,AFD1,Evaluate Numeric Function
BASIC,AFE6,Perform [or], [and],Perform [or]
BASIC,B016,Perform <, =, >,Perform <, =
BASIC,B01B,Numeric Comparison
BASIC,B02E,String Comparison
BASIC,B07E,Perform [dim]
BASIC,B08B,Identify Variable
BASIC,B0E7,Locate Ordinary Variable
BASIC,B113,Does A hold an alphabetic character?
BASIC,B11D,Create New Variable
BASIC,B128,Create Variable
BASIC,B194,Allocate Array Pointer Space
BASIC,B1A5,Constant 32768 in Flpt
BASIC,B1AA,FAC#1 to Integer in A/Y
BASIC,B1B2,Evaluate Text for Integer
BASIC,B1BF,FAC#1 to Positive Integer
BASIC,B1D1,Get Array Parameters
BASIC,B218,Find Array
BASIC,B245,?BAD SUBSCRIPT
BASIC,B248,?ILLEGAL QUANTITY
BASIC,B24D,?REDIM'D ARRAY
BASIC,B261,Create Array
BASIC,B30E,Locate Element in Array
BASIC,B34C,Number of Bytes in Subscript
BASIC,B37D,Evaluate <fre>
BASIC,B391,Convert Integer in (AC/YR) to Flpt
BASIC,B39E,Evaluate <pos>
BASIC,B3A6,Confirm Program Mode
BASIC,B3AE,?UNDEF'D FUNCTION
BASIC,B3B3,Perform [def fn]
BASIC,B3E1,Check Syntax of FN
BASIC,B3F4,Perform [fn]
BASIC,B465,Evaluate <str$>
BASIC,B487,Set Up String
BASIC,B4D5,Save String Descriptor
BASIC,B4F4,Allocate Space for String
BASIC,B526,Garbage Collection
BASIC,B5BD,Search for Next String
